Category	Name	Latest	Information
Scientific tool	raw2ometiff	rate-limited	![Status](https://github.com/pscedu/singularity-raw2ometiff/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-raw2ometiff/actions/workflows/pretty.yml/badge.svg)
Scientific tool	raxml	rate-limited	![Status](https://github.com/pscedu/singularity-raxml/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-raxml/actions/workflows/pretty.yml/badge.svg)
Utility	rclone	v1.70.3	![Status](https://github.com/pscedu/singularity-rclone/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-rclone/actions/workflows/pretty.yml/badge.svg)
Utility	rich-cli	v1.8.0	![Status](https://github.com/pscedu/singularity-rich-cli/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-rich-cli/actions/workflows/pretty.yml/badge.svg)
Scientific tool	rnaview	rate-limited	![Status](https://github.com/pscedu/singularity-rnaview/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-rnaview/actions/workflows/pretty.yml/badge.svg)
Scientific tool	rust	rate-limited	![Status](https://github.com/pscedu/singularity-rust/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-rust/actions/workflows/pretty.yml/badge.svg)
Scientific tool	salmon	—	![Status](https://github.com/pscedu/singularity-salmon/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-salmon/actions/workflows/pretty.yml/badge.svg)
Scientific tool	samtools	v1.21	![Status](https://github.com/pscedu/singularity-samtools/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-samtools/actions/workflows/pretty.yml/badge.svg)
Utility	shellcheck	v0.8	![Status](https://github.com/pscedu/singularity-shellcheck/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-shellcheck/actions/workflows/pretty.yml/badge.svg)
Scientific tool	spades	rate-limited	![Status](https://github.com/pscedu/singularity-spades/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-spades/actions/workflows/pretty.yml/badge.svg)
Scientific tool	sra-toolkit	rate-limited	![Status](https://github.com/pscedu/singularity-sra-toolkit/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-sra-toolkit/actions/workflows/pretty.yml/badge.svg)
Scientific tool	star	v2.7.10b	![Status](https://github.com/pscedu/singularity-star/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-star/actions/workflows/pretty.yml/badge.svg)
Scientific tool	star-fusion	v1.11.1	![Status](https://github.com/pscedu/singularity-star-fusion/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-star-fusion/actions/workflows/pretty.yml/badge.svg)
Scientific tool	stride	v1995	![Status](https://github.com/pscedu/singularity-stride/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-stride/actions/workflows/pretty.yml/badge.svg)
Scientific tool	tiger	v5.32.1	![Status](https://github.com/pscedu/singularity-tiger/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-tiger/actions/workflows/pretty.yml/badge.svg)
Utility	timewarrior	rate-limited	![Status](https://github.com/pscedu/singularity-timewarrior/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-timewarrior/actions/workflows/pretty.yml/badge.svg)
Scientific tool	trimmomatic	rate-limited	![Status](https://github.com/pscedu/singularity-trimmomatic/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-trimmomatic/actions/workflows/pretty.yml/badge.svg)
Scientific tool	vcf2maf	rate-limited	![Status](https://github.com/pscedu/singularity-vcf2maf/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-vcf2maf/actions/workflows/pretty.yml/badge.svg)
Scientific tool	viennarna	v2.4.14	![Status](https://github.com/pscedu/singularity-viennarna/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-viennarna/actions/workflows/pretty.yml/badge.svg)
Utility	vim	v9.1	![Status](https://github.com/pscedu/singularity-vim/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-vim/actions/workflows/pretty.yml/badge.svg)
Utility	visidata	v3.2	![Status](https://github.com/pscedu/singularity-visidata/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-visidata/actions/workflows/pretty.yml/badge.svg)
Utility	wordgrinder	rate-limited	![Status](https://github.com/pscedu/singularity-wordgrinder/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-wordgrinder/actions/workflows/pretty.yml/badge.svg)
